time,nod1,nod2,trend,total,total_nodal
1896,0.533771115613495,-0.0,-10.015579378482471,-9.481808262868975,0.533771115613495
1897,0.5036463259303303,-0.42754325885194805,-9.923477404958454,-9.847374337880073,0.07610306707838227
1898,0.41667230181112297,-0.8068274404454109,-9.831650199805036,-10.221805338439324,-0.3901551386342879
1899,0.2826662630635735,-1.0950407257574652,-9.740209346329307,-10.552583809023199,-0.8123744626938918
1900,0.11675418265796556,-1.2596509512822598,-9.649134792746391,-10.792031561370685,-1.1428967686242943
1901,-0.06233656213887112,-1.282077687024315,-9.558383512072172,-10.902797761235359,-1.344414249163186
1902,-0.23439104825075943,-1.159789508267129,-9.468044925690613,-10.862225482208501,-1.3941805565178884
1903,-0.3799885724715755,-0.9065897309191074,-9.378202924092927,-10.66478122748361,-1.286578303390683
1904,-0.48269476933176697,-0.551058357971481,-9.288399933427241,-10.32215306073049,-1.0337531273032479
1905,-0.530916645171439,-0.1333261028425066,-9.197866857251777,-9.862109605265722,-0.6642427480139456
1906,-0.5192111408766563,0.29945537728168065,-9.105517251870726,-9.3252730154657,-0.21975576359497567
1907,-0.4488995188563465,0.6984357393002724,-9.010089544265986,-8.76055332382206,0.24953622044392587
1908,-0.32791822514022556,1.0185799517477387,-8.910900022964896,-8.220238296357383,0.6906617266075132
1909,-0.16992306058445814,1.2237516378657451,-8.807763245755226,-7.7539346684739385,1.053828577281287
1910,0.007252221863386934,1.2907919802793908,-8.700821187922502,-7.402776985779724,1.2980442021427778
1911,0.1836089075307788,1.212133779653893,-8.59053672876645,-7.194794041581778,1.3957426871846716
1912,0.3392406811093513,0.9966556046543082,-8.477150513431553,-7.141254227667893,1.3358962857636596
1913,0.4565805581372953,0.6686796207680437,-8.360587258743553,-7.235327079838214,1.125260178905339
1914,0.5223837637906587,0.2652262183710274,-8.240434782989995,-7.452824800828309,0.787609982161686
1915,0.5292227409281857,-0.1681646752583699,-8.115759985585102,-7.754701919915286,0.3610580656698158
1916,0.4763255378953576,-0.5825739292819091,-7.985528151188229,-8.091776542574781,-0.10624839138655151
1917,0.36966294280557804,-0.9312249712885196,-7.848594201538133,-8.410156230021075,-0.5615620284829415
1918,0.22127452898962693,-1.1747637073377908,-7.703892375578011,-8.657381553926175,-0.9534891783481638
1919,0.04790968444121586,-1.285700627455939,-7.550604834842391,-8.788395777857113,-1.2377909430147231
1920,-0.13086298052070508,-1.2515136925557926,-7.388050595988235,-8.770427269064733,-1.3823766730764977
1921,-0.2948644461794663,-1.076061763462353,-7.215877848778069,-8.586804058419888,-1.3709262096418193
1922,-0.4255829964972967,-0.7791490308065429,-7.033866664911723,-8.238598692215563,-1.2047320273038395
1923,-0.5082637347747482,-0.3942896108972989,-6.842069652987978,-7.7446229986600255,-0.9025533456720471
1924,-0.5335740471681734,0.03507537049736171,-6.640709144845116,-7.139207821515927,-0.49849867667081166
1925,-0.4986570243568388,0.4604812086248672,-6.430550166988107,-6.468725982720079,-0.038175815731971596
1926,-0.4074539360639849,0.8339100882504861,-6.212519251751143,-5.786063099564641,0.4264561521865012
1927,-0.2702593590207615,1.113211109367532,-5.987297694572273,-5.144345944225503,0.8429517503467706
1928,-0.10255917344137724,1.2668580830409841,-5.755439776324684,-4.591140866725077,1.1642989095996068
1929,0.0767174104841387,1.2775080597107185,-5.517349587785315,-4.163124117590458,1.354225470194857
1930,0.24733449303062185,1.143958919974161,-5.273368745548272,-3.8820753325434887,1.391293413004783
1931,0.3900336183628931,0.881285064184758,-5.024171282187654,-3.7528525996400024,1.2713186825476512
1932,0.4887075786802264,0.5191358848609737,-4.770673478054957,-3.7628300145137565,1.0078434635412001
1933,0.5322185202666218,0.09838908235765,-4.5137807122798215,-3.8831731096555497,0.6306076026242717
1934,0.5156551321655088,-0.33346341817407515,-4.2543920700996765,-4.072200356108243,0.1821917139914337
1935,0.44088701191932195,-0.7276761324915266,-3.9936649298787694,-4.280454050450974,-0.2867891205722047
1936,0.3163536341700449,-1.0397521788344652,-3.7330465572177225,-4.456445101882143,-0.7233985446644203
1937,0.15611174235505734,-1.234465877182982,-3.4736862692927257,-4.552040404120651,-1.0783541348279246
1938,-0.02175131054547709,-1.2898388587583995,-3.216279208701227,-4.527869378005104,-1.3115901693038767
1939,-0.1971591775569706,-1.1996208811804343,-2.961197315807782,-4.357977374545187,-1.3967800587374049
1940,-0.35031264156959396,-0.9739953265043461,-2.7082910046199453,-4.032598972693886,-1.32430796807394
1941,-0.46392445807846255,-0.6384297488294259,-2.457401165579796,-3.5597553724876843,-1.1023542069078884
1942,-0.5251706582409797,-0.23080121627222028,-2.2084730593122988,-2.964444933825499,-0.7559718745132
1943,-0.527138058316703,0.20287907478386366,-1.9615518528881086,-2.285810836420948,-0.32425898353283933
1944,-0.46960458741505734,0.6136593276767549,-1.716933683637441,-1.5728789433757433,0.14405474026169757
1945,-0.35906435381562796,0.9551725946177106,-1.4749724107674052,-0.8788641699653225,0.5961082408020827
1946,-0.20799462049238962,1.1888704602291695,-1.2360667429914276,-0.25519090325464766,0.9808758397367799
1947,-0.033447430205743985,1.2883742058243475,-1.0006053361659077,0.2543214394526958,1.2549267756186036
1948,0.14487514908535445,1.2424523154179818,-0.7688749565903432,0.618452507912993,1.3873274645033362
1949,0.30684490122319746,1.0562882365585797,-0.5410800239465551,0.8220531138352222,1.3631331377817772
1950,0.43417944046055973,0.7508952970870599,-0.31709758081614736,0.8679771567314722,1.1850747375476196
1951,0.5125058413928166,0.360744819273185,-0.09667304229851315,0.7765776183674885,0.8732506606660017
1952,0.5329829873476586,-0.07012484132150842,0.12046867397579941,0.5833268200019496,0.46285814602615016
1953,0.49329951415734985,-0.4930791388154971,0.33457786869263373,0.3347982440344865,0.0002203753418527632
1954,0.39793470610231113,-0.8603769763794674,0.5455072199390258,0.08306494966186956,-0.4624422702771563
1955,0.25765289531592134,-1.130559497271123,0.752846315125467,-0.12006028682973469,-0.8729066019552016
1956,0.08828843447369435,-1.273129766081839,0.9560159104330914,-0.22882542117505333,-1.1848413316081448
1957,-0.09104161065054829,-1.2719951197305168,1.1543094043013318,-0.20872732607973332,-1.363036730381065
1958,-0.2600953058823391,-1.1272836317741495,1.3471127386152815,-0.040266199041206985,-1.3873789376564885
1959,-0.39979066321202034,-0.8553296560655559,1.5339120914229998,0.2787917721454236,-1.2551203192775762
1960,-0.4943595260789467,-0.4868300815224033,1.7143423349446723,0.7331527273433223,-0.98118960760135
1961,-0.5331274049084346,-0.06337941131929124,1.8882238196756411,1.2917170034479153,-0.5965068162277258
1962,-0.5117183634160397,0.3672252294917733,2.0556659058546245,1.911172771930358,-0.14449313392426644
1963,-0.43254895376583047,0.756379209219101,2.2172139169688805,2.541044172422151,0.3238302554532705
1964,-0.30455544749925695,1.0601566523301527,2.3733307188542607,3.1289319236851565,0.7556012048308958
1965,-0.14218515112768906,1.2442685862052931,2.5242386184810264,3.6263220535586305,1.102083435077604
1966,0.03623433804768031,1.2879333195018818,2.670024846991044,3.9941925045406066,1.3241676575495622
1967,0.2105638651360586,1.186222181976609,2.8105065037734107,4.207292550886079,1.3967860471126676
1968,0.3611259309791525,0.9506158496599211,2.9456436555063528,4.257385436145427,1.3117417806390737
1969,0.4709257959400189,0.6077084600067996,3.0759989828087537,4.154633238755572,1.0786342559468185
1970,0.5275697663831971,0.19620579042608413,3.202270313432411,3.9260458702416923,0.7237755568092812
1971,0.5246641366677993,-0.23744366828693675,3.325209055719819,3.6124295241006816,0.28722046838086257
1972,0.4625368806444644,-0.6442915996804369,3.4455656372486096,3.263810918212637,-0.1817547190359725
1973,0.3482006315057695,-0.9784149179682066,3.5640080210410012,2.9337937345785643,-0.630214286462437
1974,0.1945611286509188,-1.2020993505070308,3.6811762498148384,2.6736380279587264,-1.007538221856112
1975,0.018960478369077594,-1.2900964479577761,3.797711159026512,2.5265751894378132,-1.2711359695886986
1976,-0.15878034175879838,-1.2324735107947808,3.914246829894018,2.5229929773404387,-1.3912538525535791
1977,-0.31859878182005297,-1.0357347458294854,4.031349823285945,2.6770162956364065,-1.3543335276495383
1978,-0.44245528608187673,-0.7220871018597593,4.149556412821308,2.985014024879672,-1.1645423879416361
1979,-0.5163695134106329,-0.3269336534725325,4.269493296347685,3.426190129464519,-0.8433031668831654
1980,-0.5319983725908531,0.10512253192356291,4.39185781555976,3.9649819748924697,-0.42687584066729023
1981,-0.4875777513203928,0.5253129790939423,4.5174835572943834,4.555218785067932,0.03773522777354943
1982,-0.38812164093083645,0.8862085616673375,4.647326637383573,5.145413558120074,0.49808692073650107
1983,-0.24485618056891317,1.147073079408894,4.782472700095139,5.684689598935119,0.9022168988399808
1984,-0.0739525032765626,1.2784613693905553,4.924137975094313,6.1286468412083055,1.2045088661139927
1985,0.10529858564067847,1.2655429378416774,5.073245968143398,6.444087491625754,1.3708415234823559
1986,0.27266406421456013,1.1097759567092327,5.230305900047247,6.61274592097104,1.3824400209237928
1987,0.4092525024115764,0.828742672049392,5.395541331006079,6.633536505467047,1.2379951744609685
1988,0.4996464381268033,0.4541648025790483,5.568734011919737,6.522545252625589,0.9538112407058517
1989,0.5336426279759491,0.02832294088813087,5.749634540580455,6.3116001094445355,0.56196556886408
1990,0.5074037415404972,-0.4007158814943985,5.938021310671285,6.0447091707173835,0.10668786004609865
1991,0.4238915012226801,-0.7845237751150724,6.133694737998129,5.773062464105736,-0.36063227389239233
1992,0.2925323769155066,-1.0797783055601449,6.336506560552859,5.549260631908221,-0.7872459286446383
1993,0.1281535703051153,-1.2531525266068466,6.546239913623639,5.421240957321908,-1.1249989563017313
1994,-0.050690610094380424,-1.2850767695610916,6.762398327007423,5.426630947351951,-1.335767379655472
1995,-0.22381307223923264,-1.1719475756494069,6.984458861569978,5.588698213681338,-1.3957606478886395
1996,-0.3716725647990701,-0.9265344375398304,7.212069398646081,5.913862396307181,-1.2982070023389005
1997,-0.4775794019301682,-0.576538438917028,7.444884614674759,6.390766773827563,-1.0541178408471963
1998,-0.5295793167145145,-0.16146548611444275,7.682297507204403,6.991252704375446,-0.6910448028289573
1999,-0.5218028027266053,0.2718329332523904,7.92360956141016,7.6736396919359455,-0.2499698694742149
2000,-0.4551276363822144,0.6744481264061608,8.168176515941084,8.387497005965031,0.21932049002394643
2001,-0.33707979765463786,1.0009347791954337,8.415381133193868,9.079236114734664,0.6638549815407959
2002,-0.18098397276310974,1.2144406099513878,8.664616288602643,9.698072925790921,1.033456637188278
2003,-0.004459526104568837,1.290866082151669,8.915293906071357,10.201700462118456,1.2864065560471003
2004,0.1725682909389818,1.2215846470411102,9.167018078029438,10.56117101600953,1.394152937980092
2005,0.3301174088980196,1.014416467984132,9.419547653854217,10.764081530736368,1.3445338768821518
2006,0.45040442247220897,0.6927457171121194,9.672819901738428,10.815970041322757,1.1431501395843284
2007,0.5198518978906155,0.29288107967910043,9.926941457983828,10.739674435553544,0.8127329775697159
2008,0.5306209299378452,-0.14004259998917465,10.18210150973678,10.57267983968545,0.3905783299486705
2009,0.48149596079885315,-0.5571589279744777,10.438578390593516,10.362915423417892,-0.0756629671756246
2010,0.3780219865223789,-0.9113857700570548,10.696562203733478,10.163198420198803,-0.5333637835346758
2011,0.23187866388106895,-1.1627396621425508,10.9561016915569,10.025240693295418,-0.9308609982614818
2012,0.059561965509597595,-1.2828489561082665,11.217157753859073,9.993870763260404,-1.223286990598669
2013,-0.11947780809620989,-1.258156278338921,11.479546560978601,10.10191247454347,-1.377634086435131
2014,-0.28503148724909066,-1.0914488224564873,11.743030728955464,10.366550419249887,-1.376480309705578
2015,-0.4184121493341991,-0.8015437439801492,12.007282661128306,10.787326767813958,-1.2199558933143484
2016,-0.5045644109649801,-0.4211641680911684,12.271986034538372,11.346257455482224,-0.9257285790561485
2017,-0.5337638090281637,0.00675444321844932,12.536900647084295,12.00989128127458,-0.5270093658097144
